
                                             CodeAnalysis
    ==============================================================================================
     Sun Nov 20 20:48:22 2016
     Path: G:\Sem3\SMA\Project4\CommChannelDemo
     Args: *.cs, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
            MessageTest.cs   namespace                    CommChannelDemo      37     116      21
            MessageTest.cs       class                        TestElement      39      30      10
            MessageTest.cs    function                        TestElement      43       2       1
            MessageTest.cs    function                        TestElement      46       3       1
            MessageTest.cs    function                          addDriver      50       3       1
            MessageTest.cs    function                            addCode      54       3       1
            MessageTest.cs    function                           ToString      58       9       2
            MessageTest.cs       class                        TestRequest      69      17       6
            MessageTest.cs    function                        TestRequest      69       2       1
            MessageTest.cs    function                           ToString      76       8       2
            MessageTest.cs       class                        MessageTest      87      66       4
            MessageTest.cs    function                    makeTestRequest      90       9       1
            MessageTest.cs    function                    makeTestRequest     102       9       1
            MessageTest.cs    function                               Main     114      36       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               Messages.cs   namespace                    CommChannelDemo      35     131      26
               Messages.cs       class                            Message      38      68      15
               Messages.cs    function                            Message      49       4       1
               Messages.cs    function                            Message      54       4       1
               Messages.cs    function                         fromString      59      23       3
               Messages.cs    function                           ToString      83      10       1
               Messages.cs    function                               copy      94      10       1
               Messages.cs       class                         extMethods     107      40       8
               Messages.cs    function                            showMsg     109       9       3
               Messages.cs    function                           ToString     110       1       1
               Messages.cs    function                           showThis     119       8       1
               Messages.cs    function                              shift     128      12       2
               Messages.cs    function                          formatXml     141       4       1
               Messages.cs       class                       TestMessages     148      18       2
               Messages.cs    function                               Main     151      12       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                Program.cs   namespace                   CS_BlockingQueue      14      33       6
                Program.cs       class                            Program      17      29       5
                Program.cs    function                               Main      19      25       4
                Program.cs    function                             Thread      24       7       2
                Program.cs   namespace                         Repository       8       8       3
                Program.cs       class                            Program      10       6       2
                Program.cs    function                               Main      12       2       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
             Repository.cs   namespace                    CommChannelDemo      47     191      27
             Repository.cs       class                         Repository      51     187      26
             Repository.cs    function                         Repository      65       6       1
             Repository.cs    function                               wait      74       3       1
             Repository.cs    function                        makeMessage      80       7       1
             Repository.cs    function                      rcvThreadProc      90      39       8
             Repository.cs    function                          storeLogs     132      19       4
             Repository.cs    function                          queryLogs     154      15       3
             Repository.cs    function                       getFileNames     172      16       2
             Repository.cs    function                            sendLog     191      14       2
             Repository.cs    function                               Main     207      28       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
     Resources.Designer.cs   namespace                    CommChannelDemo      11      53       9
     Resources.Designer.cs       class                          Resources      25      39       8
     Resources.Designer.cs    function           SuppressMessageAttribute      32       2       1
     Resources.Designer.cs    function           EditorBrowsableAttribute      39       9       3
     Resources.Designer.cs    function           EditorBrowsableAttribute      54       8       3
     Resources.Designer.cs   namespace                         ClientGUI2      12      60       9
     Resources.Designer.cs       class                          Resources      26      46       8
     Resources.Designer.cs    function           SuppressMessageAttribute      34       2       1
     Resources.Designer.cs    function           EditorBrowsableAttribute      42      11       3
     Resources.Designer.cs    function           EditorBrowsableAttribute      60      10       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
          Serialization.cs   namespace                          Utilities      31     105      20
          Serialization.cs       class                       ToAndFromXml      33      43       8
          Serialization.cs    function                              ToXml      37      22       4
          Serialization.cs    function                              using      48       3       1
          Serialization.cs    function                                  >      62      12       3
          Serialization.cs       class                          Utilities      76       8       2
          Serialization.cs    function                              title      78       4       1
          Serialization.cs       class                             Widget      87      16       5
          Serialization.cs    function                             Widget      90       2       1
          Serialization.cs    function                             Widget      93       3       1
          Serialization.cs    function                            getName      97       3       1
          Serialization.cs       class               TestXmlSerialization     104      32       4
          Serialization.cs    function                               Main     107      26       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
      Settings.Designer.cs   namespace                    CommChannelDemo      11      16       4
      Settings.Designer.cs       class                           Settings      16      11       3
      Settings.Designer.cs   namespace                         ClientGUI2      12      19       4
      Settings.Designer.cs       class                           Settings      18      13       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
             TestDriver.cs   namespace                    CommChannelDemo      14      19       5
             TestDriver.cs       class                         TestDriver      16      17       4
             TestDriver.cs    function                               test      18       4       1
             TestDriver.cs    function                             getLog      23       3       1
             TestDriver.cs    function                               Main      28       2       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               TestExec.cs   namespace                    CommChannelDemo      37      24       6
               TestExec.cs       class                           TestExec      39      22       5
               TestExec.cs    function                           TestExec      41       2       1
               TestExec.cs    function                               Main      45      14       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            TestHarness.cs   namespace                    CommChannelDemo      52     435      49
            TestHarness.cs       class                               Test      59       5       3
            TestHarness.cs       class                        RequestInfo      65       5       3
            TestHarness.cs       class                        TestHarness      72     415      42
            TestHarness.cs    function                        TestHarness      93       7       1
            TestHarness.cs    function                               wait     103       3       1
            TestHarness.cs    function                        makeMessage     109       7       1
            TestHarness.cs    function                      rcvThreadProc     118      15       3
            TestHarness.cs    function                            makeKey     137      15       1
            TestHarness.cs    function                       extractTests     155      19       3
            TestHarness.cs    function                        extractCode     178       7       1
            TestHarness.cs    function         processRequestAndLoadFiles     189      28       3
            TestHarness.cs    function                               lock     198       4       1
            TestHarness.cs    function                           runTests     220      44       7
            TestHarness.cs    function                               lock     242      14       3
            TestHarness.cs    function                 saveResultsAndLogs     267      36       4
            TestHarness.cs    function             makeTestResultsMessage     306      34       2
            TestHarness.cs    function                           testWait     343       4       1
            TestHarness.cs    function                    processMessages     350      38       5
            TestHarness.cs    function                                  =     354      22       3
            TestHarness.cs    function                               lock     367       6       1
            TestHarness.cs    function               createChildAppDomain     391      32       3
            TestHarness.cs    function                      installLoader     426      27       2
            TestHarness.cs    function                               lock     447       4       1
            TestHarness.cs    function                               Main     455      30       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                 Tested.cs   namespace                    CommChannelDemo      14      14       4
                 Tested.cs       class                             Tested      16      12       3
                 Tested.cs    function                    myWackyFunction      18       3       1
                 Tested.cs    function                               Main      23       2       1

                          Functions Exceeding Metric Limits and Public Data
    ==============================================================================================
                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            LoadAndTest.cs    function                               test      82     106      19
           MainWindow.g.cs    function       DebuggerNonUserCodeAttribute     222      99       2
           MainWindow.g.cs    function       DebuggerNonUserCodeAttribute     222      99       2
         MainWindow.g.i.cs    function       DebuggerNonUserCodeAttribute     222      99       2
         MainWindow.g.i.cs    function       DebuggerNonUserCodeAttribute     222      99       2



    searched   174 dirs
   processed   115 files
